Case ID,Study Code,Study Type,Breed,Diagnosis,Stage Of Disease,Age,Sex,Neutered Status,Weight (kg),Response to Treatment,Cohort,Canine ID,Matching Cases,Disease Site,Date of Diagnosis,Histology/Cytopathology,Histological Grade,Detailed Pathology Evaluation Available,Treatment Data Available,Follow Up Data Available,Concurrent Disease(s),Concurrent Disease Specifics,Arm
"GLIOMA01-i_64C0","GLIOMA01","Genomics","Boxer","Glioma","Unknown","6","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_6561","GLIOMA01","Genomics","Beagle","Glioma","Unknown","8","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","Yes","Yes", , , 
"GLIOMA01-i_6638","GLIOMA01","Genomics","Boxer","Glioma","Unknown","9","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_66A9","GLIOMA01","Genomics","Doberman Pinscher","Glioma","Unknown","5","Male","No", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_6B06","GLIOMA01","Genomics","Bulldog","Glioma","Unknown","9","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","Yes","Yes", , , 
"GLIOMA01-i_6D02","GLIOMA01","Genomics","Boston Terrier","Glioma","Unknown","7","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","No", , , 
"GLIOMA01-i_6D5C","GLIOMA01","Genomics","Mixed Breed","Glioma","Unknown","10","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_6E45","GLIOMA01","Genomics","Boston Terrier","Glioma","Unknown","9","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","Yes","Yes", , , 
"GLIOMA01-i_750B","GLIOMA01","Genomics","Labrador Retriever","Glioma","Unknown","11","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_81E2","GLIOMA01","Genomics","Boxer","Glioma","Unknown","9","Male","No", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_8228","GLIOMA01","Genomics","Labrador Retriever","Glioma","Unknown","11","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_8743","GLIOMA01","Genomics","Mixed Breed","Glioma","Unknown","9","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","Yes","Yes", , , 
"GLIOMA01-i_8A0A","GLIOMA01","Genomics","Mixed Breed","Glioma","Unknown","10","Unknown","Unknown", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_8BDE","GLIOMA01","Genomics","Yorkshire Terrier","Glioma","Unknown","7","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"No","Yes","Yes", , , 
"GLIOMA01-i_905D","GLIOMA01","Genomics","Border Collie","Glioma","Unknown","15","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"No","No","Yes", , , 
"GLIOMA01-i_92AC","GLIOMA01","Genomics","Boxer","Glioma","Unknown","9","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_95FC","GLIOMA01","Genomics","Labrador Retriever","Glioma","Unknown","6","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_99AF","GLIOMA01","Genomics","Boxer","Glioma","Unknown","8","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","No", , , 
"GLIOMA01-i_A71E","GLIOMA01","Genomics","Boston Terrier","Glioma","Unknown","8","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","No", , , 
"GLIOMA01-i_A974","GLIOMA01","Genomics","Bulldog","Glioma","Unknown","12","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_AB3E","GLIOMA01","Genomics","Mastiff","Glioma","Unknown","9","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","No", , , 
"GLIOMA01-i_B023","GLIOMA01","Genomics","Boston Terrier","Glioma","Unknown","7","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","Yes","Yes", , , 
"GLIOMA01-i_B02B","GLIOMA01","Genomics","Parson Russell Terrier","Glioma","Unknown","12","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_B2DC","GLIOMA01","Genomics","Boxer","Glioma","Unknown","8","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","No", , , 
"GLIOMA01-i_B3CE","GLIOMA01","Genomics","Mixed Breed","Glioma","Unknown","12","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_B4F5","GLIOMA01","Genomics","Boxer","Glioma","Unknown","13","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_B70F","GLIOMA01","Genomics","Samoyed","Glioma","Unknown","11","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","Yes","Yes", , , 
"GLIOMA01-i_B813","GLIOMA01","Genomics","Boxer","Glioma","Unknown","8","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_BD58","GLIOMA01","Genomics","Mixed Breed","Glioma","Unknown","12","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"No","Yes","Yes", , , 
"GLIOMA01-i_BF76","GLIOMA01","Genomics","Boxer","Glioma","Unknown","6","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","Yes","Yes", , , 
"GLIOMA01-i_C04D","GLIOMA01","Genomics","French Bulldog","Glioma","Unknown","6","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_C3C0","GLIOMA01","Genomics","Bulldog","Glioma","Unknown","6","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","Yes","Yes", , , 
"GLIOMA01-i_C561","GLIOMA01","Genomics","Boxer","Glioma","Unknown","7","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_D026","GLIOMA01","Genomics","Boxer","Glioma","Unknown","5","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","Yes","Yes", , , 
"GLIOMA01-i_D0EE","GLIOMA01","Genomics","Chihuahua","Glioma","Unknown","17","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_D732","GLIOMA01","Genomics","Cocker Spaniel","Glioma","Unknown","7","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","Yes","No", , , 
"GLIOMA01-i_D756","GLIOMA01","Genomics","Boxer","Glioma","Unknown","12","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","Yes","Yes", , , 
"GLIOMA01-i_D7EC","GLIOMA01","Genomics","Labrador Retriever","Glioma","Unknown","8","Male","No", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","No", , , 
"GLIOMA01-i_DCD0","GLIOMA01","Genomics","French Bulldog","Glioma","Unknown","12","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","No", , , 
"GLIOMA01-i_E271","GLIOMA01","Genomics","Boxer","Glioma","Unknown","8","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","Yes","Yes", , , 
"GLIOMA01-i_E2CD","GLIOMA01","Genomics","Boxer","Glioma","Unknown","14","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_E7AB","GLIOMA01","Genomics","Boston Terrier","Glioma","Unknown","10","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_E952","GLIOMA01","Genomics","Boxer","Glioma","Unknown","7","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_ED99","GLIOMA01","Genomics","Bulldog","Glioma","Unknown","5","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_F5BE","GLIOMA01","Genomics","Boxer","Glioma","Unknown","4","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_F840","GLIOMA01","Genomics","Boston Terrier","Glioma","Unknown","13","Female","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_F8E7","GLIOMA01","Genomics","Boston Terrier","Glioma","Unknown","12","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_FC65","GLIOMA01","Genomics","Boston Terrier","Glioma","Unknown","9","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","Yes", , , 
"GLIOMA01-i_FECA","GLIOMA01","Genomics","Poodle","Glioma","Unknown","8","Male","Yes", ,"Not Determined", , ,"","Brain","", , ,"Yes","No","No", , , 
