type,sample.sample_id,pdx.pdx_id,cell_line.cell_line_id,pathology_file_id,file_name,file_type,file_description,file_size,md5sum,file_url_in_cds,dcf_indexd_guid,image_modality,license,magnification,fixation_embedding_method,staining_method,deidentification_method,percent_tumor,percent_necrosis,file_mapping_level,id,sample.id,pdx.id,cell_line.id
pathology_file,0DLHOY,,,0DLDJZ.svs_2,0DLDJZ.svs,svs,,750618329,5251c643bf6e4318ae861d1d6a9c8ed5,s3://TBD/,dg.4DFC/7e4e8d1f-02be-48b3-8754-b2c00d992ddc,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,90,10,,,,,
pathology_file,0DLIF4,,,0DLE4D_090918.svs_1,0DLE4D_090918.svs,svs,,350156877,da97475530899ea409a8ba56dfecfc01,s3://TBD/,dg.4DFC/27db5d8f-61bb-4072-9036-99af8863d6c1,Slide Microscopy,CC by 4.0,40X,OCT,H&E,manual,100,10,,,,,
pathology_file,0DLIFS,,,0DLE4D_090918.svs_2,0DLE4D_090918.svs,svs,,350156877,da97475530899ea409a8ba56dfecfc01,s3://TBD/,dg.4DFC/27db5d8f-61bb-4072-9036-99af8863d6c1,Slide Microscopy,CC by 4.0,40X,OCT,H&E,manual,100,10,,,,,
pathology_file,0DLJWC,,,0DLEW3_131302.svs_1,0DLEW3_131302.svs,svs,,1021469719,c3a4f7dfb2306040550735de76316c42,s3://TBD/,dg.4DFC/12425dc9-2807-4d4e-a9db-a229e5b8e36e,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,80,10,,,,,
pathology_file,0DLJX1,,,0DLEW3_131302.svs_2,0DLEW3_131302.svs,svs,,1021469719,c3a4f7dfb2306040550735de76316c42,s3://TBD/,dg.4DFC/12425dc9-2807-4d4e-a9db-a229e5b8e36e,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,80,10,,,,,
pathology_file,0DLIF2,,,0DLEWX_123831.svs_1,0DLEWX_123831.svs,svs,,2972243731,7d4c411e006df0758adc4fae2a9747b0,s3://TBD/,dg.4DFC/776d0cef-b26b-4971-bc29-a401ca2c633e,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,70,10,,,,,
pathology_file,0DLIFP,,,0DLEWX_123831.svs_2,0DLEWX_123831.svs,svs,,2972243731,7d4c411e006df0758adc4fae2a9747b0,s3://TBD/,dg.4DFC/776d0cef-b26b-4971-bc29-a401ca2c633e,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,70,10,,,,,
pathology_file,0DLJWD,,,0DLEY0_124147.svs_1,0DLEY0_124147.svs,svs,,1055828489,1cda5b8284d4784e0953c7a74f972886,s3://TBD/,dg.4DFC/156fd6b1-a5ea-4a17-9fa7-532acd639017,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,60,30,,,,,
pathology_file,0DLJX2,,,0DLEY0_124147.svs_2,0DLEY0_124147.svs,svs,,1055828489,1cda5b8284d4784e0953c7a74f972886,s3://TBD/,dg.4DFC/156fd6b1-a5ea-4a17-9fa7-532acd639017,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,60,30,,,,,
pathology_file,0DLJWF,,,0DLF5J_124332.svs_1,0DLF5J_124332.svs,svs,,2219478667,a125ecf529d68709f5c4146615b0f01e,s3://TBD/,dg.4DFC/760c372f-5f2b-4420-9581-5b5432afad2d,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,70,10,,,,,
pathology_file,0DLJX3,,,0DLF5J_124332.svs_2,0DLF5J_124332.svs,svs,,2219478667,a125ecf529d68709f5c4146615b0f01e,s3://TBD/,dg.4DFC/760c372f-5f2b-4420-9581-5b5432afad2d,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,70,10,,,,,
pathology_file,0DLJWB,,,0DLF9M_124529.svs,0DLF9M_124529.svs,svs,,1419113679,36576093d349c7ab90c15e5830f0058d,s3://TBD/,dg.4DFC/669f6a4b-b681-4312-ae44-cd66b3c630d2,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,80,0,,,,,
pathology_file,0DLJWE,,,0DLFQO_170345.svs_1,0DLFQO_170345.svs,svs,,431548173,2bac158d32eae1a3e659e21591b2f1e0,s3://TBD/,dg.4DFC/8d80d493-f159-459a-a223-6b874be0c7d5,Slide Microscopy,CC by 4.0,40X,OCT,H&E,manual,90,10,,,,,
pathology_file,0DLJX7,,,0DLFQO_170345.svs_2,0DLFQO_170345.svs,svs,,431548173,2bac158d32eae1a3e659e21591b2f1e0,s3://TBD/,dg.4DFC/8d80d493-f159-459a-a223-6b874be0c7d5,Slide Microscopy,CC by 4.0,40X,OCT,H&E,manual,90,10,,,,,
pathology_file,0DLJWG,,,0DLFQP_170231.svs_1,0DLFQP_170231.svs,svs,,682351475,15f3798f2f61f4ccade1e9950308e5c3,s3://TBD/,dg.4DFC/31ec5a91-f04c-4ba2-903f-8aae3ad22f52,Slide Microscopy,CC by 4.0,40X,OCT,H&E,manual,90,10,,,,,
pathology_file,0DLJX8,,,0DLFQP_170231.svs_2,0DLFQP_170231.svs,svs,,682351475,15f3798f2f61f4ccade1e9950308e5c3,s3://TBD/,dg.4DFC/31ec5a91-f04c-4ba2-903f-8aae3ad22f52,Slide Microscopy,CC by 4.0,40X,OCT,H&E,manual,90,10,,,,,
pathology_file,0DLZOJ,,,0DLFQQ_170104.svs_1,0DLFQQ_170104.svs,svs,,828067191,83821e0861fe7b0325f3d07a761b2789,s3://TBD/,dg.4DFC/00dd1ba6-6a9a-470b-959f-39268191ce9e,Slide Microscopy,CC by 4.0,40X,OCT,H&E,manual,90,10,,,,,
pathology_file,0DLZON,,,0DLFQQ_170104.svs_2,0DLFQQ_170104.svs,svs,,828067191,83821e0861fe7b0325f3d07a761b2789,s3://TBD/,dg.4DFC/00dd1ba6-6a9a-470b-959f-39268191ce9e,Slide Microscopy,CC by 4.0,40X,OCT,H&E,manual,90,10,,,,,
pathology_file,0DLJWH,,,0DLH74_140948.svs_1,0DLH74_140948.svs,svs,,2256939365,8f0e53d481f3af6a98641d8d0139b377,s3://TBD/,dg.4DFC/76bb6c28-e51e-4407-84ba-6d5b1a71b6f0,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,90,10,,,,,
pathology_file,0DLJX4,,,0DLH74_140948.svs_2,0DLH74_140948.svs,svs,,2256939365,8f0e53d481f3af6a98641d8d0139b377,s3://TBD/,dg.4DFC/76bb6c28-e51e-4407-84ba-6d5b1a71b6f0,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,90,10,,,,,
pathology_file,0DLJWI,,,0DLH7W_113450.svs_1,0DLH7W_113450.svs,svs,,276977965,9550e93aa6b20a03abb2cefd9839491c,s3://TBD/,dg.4DFC/3b6e9876-c66e-4a6a-9122-85de709c61f5,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,90,10,,,,,
pathology_file,0DLJX5,,,0DLH7W_113450.svs_2,0DLH7W_113450.svs,svs,,276977965,9550e93aa6b20a03abb2cefd9839491c,s3://TBD/,dg.4DFC/3b6e9876-c66e-4a6a-9122-85de709c61f5,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,90,10,,,,,
pathology_file,0DLLW0,,,0DLIE0_115737.svs_1,0DLIE0_115737.svs,svs,,286375621,d159fee4de0f17b838cabc8f5f6dce1e,s3://TBD/,dg.4DFC/eb54637e-de1d-456e-9f4c-d5b77db2341a,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,80,10,,,,,
pathology_file,0DLLW6,,,0DLIE0_115737.svs_2,0DLIE0_115737.svs,svs,,286375621,d159fee4de0f17b838cabc8f5f6dce1e,s3://TBD/,dg.4DFC/eb54637e-de1d-456e-9f4c-d5b77db2341a,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,80,10,,,,,
pathology_file,0DLRHT,,,0DLIJW_142111.svs_1,0DLIJW_142111.svs,svs,,1959283595,c0eb5b11fa723be402ca85e22320f446,s3://TBD/,dg.4DFC/6276e49b-d55b-462d-981b-742c135a5355,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,80,10,,,,,
pathology_file,0DLRI4,,,0DLIJW_142111.svs_2,0DLIJW_142111.svs,svs,,1959283595,c0eb5b11fa723be402ca85e22320f446,s3://TBD/,dg.4DFC/6276e49b-d55b-462d-981b-742c135a5355,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,80,10,,,,,
pathology_file,0DLSX2,,,0DLISV.svs_1,0DLISV.svs,svs,,1175730791,65936f532c7241f96d8969e10cb53766,s3://TBD/,dg.4DFC/ac3d576f-bff9-4b26-ab58-066c64a3885b,Slide Microscopy,CC by 4.0,40X,OCT,H&E,manual,100,0,,,,,
pathology_file,0DLSYE,,,0DLISV.svs_2,0DLISV.svs,svs,,1175730791,65936f532c7241f96d8969e10cb53766,s3://TBD/,dg.4DFC/ac3d576f-bff9-4b26-ab58-066c64a3885b,Slide Microscopy,CC by 4.0,40X,OCT,H&E,manual,100,0,,,,,
pathology_file,0DLRIC,,,0DLJXH_132745.svs,0DLJXH_132745.svs,svs,,342110071,2370e8a771c23a8185ef42a882e4cae6,s3://TBD/,dg.4DFC/0d61b6f9-4ad6-47f4-8250-dcb5a54ba61c,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,60,0,,,,,
pathology_file,0DLPZD,,,0DLJZB_133300.svs_1,0DLJZB_133300.svs,svs,,2754079933,192ff1709d90b950ad5878dc7dc0e6d9,s3://TBD/,dg.4DFC/30d4bfb5-6d6f-403c-a544-8c5eefa6ba91,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,60,10,,,,,
pathology_file,0DLPZI,,,0DLJZB_133300.svs_2,0DLJZB_133300.svs,svs,,2754079933,192ff1709d90b950ad5878dc7dc0e6d9,s3://TBD/,dg.4DFC/30d4bfb5-6d6f-403c-a544-8c5eefa6ba91,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,60,10,,,,,
pathology_file,0DLPZB,,,0DLJZL_132955.svs_1,0DLJZL_132955.svs,svs,,1298822977,a3656b3178251de92f0b9e0a5582269d,s3://TBD/,dg.4DFC/e9fe793d-f4d4-4eca-bb5e-c804be13fadb,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,70,20,,,,,
pathology_file,0DLPZH,,,0DLJZL_132955.svs_2,0DLJZL_132955.svs,svs,,1298822977,a3656b3178251de92f0b9e0a5582269d,s3://TBD/,dg.4DFC/e9fe793d-f4d4-4eca-bb5e-c804be13fadb,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,70,20,,,,,
pathology_file,0DLPZA,,,0DLK2M_133424.svs_1,0DLK2M_133424.svs,svs,,1062729429,48356fcbf7dc408d47aac34d4396ea97,s3://TBD/,dg.4DFC/096e49de-2b1f-499d-9870-9bcb113a1046,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,60,10,,,,,
pathology_file,0DLPZG,,,0DLK2M_133424.svs_2,0DLK2M_133424.svs,svs,,1062729429,48356fcbf7dc408d47aac34d4396ea97,s3://TBD/,dg.4DFC/096e49de-2b1f-499d-9870-9bcb113a1046,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,60,10,,,,,
pathology_file,0DLPZC,,,0DLK77_133603.svs_1,0DLK77_133603.svs,svs,,1371459417,bf32ae58962090d72f9be14660d6c90f,s3://TBD/,dg.4DFC/28dc6fc2-6aab-48bf-95b1-524fedbb4c10,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,60,20,,,,,
pathology_file,0DLPZF,,,0DLK77_133603.svs_2,0DLK77_133603.svs,svs,,1371459417,bf32ae58962090d72f9be14660d6c90f,s3://TBD/,dg.4DFC/28dc6fc2-6aab-48bf-95b1-524fedbb4c10,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,60,20,,,,,
pathology_file,0DLPZ9,,,0DLK9N_134231.svs_1,0DLK9N_134231.svs,svs,,485138669,9a5bc6fd39b2110c46b70e3c3d9ac1b8,s3://TBD/,dg.4DFC/26b46faa-2929-4acf-b606-2101e162ff77,Slide Microscopy,CC by 4.0,40X,Formalin fixed paraffin embedded (FFPE),H&E,manual,90,10,,,,,
